2025-09-21 15:34:20 | INFO     | session              | start_session       :60   | === SESSION STARTED: 2025-09-21-15-34-20 ===
2025-09-21 15:34:20 | INFO     | session              | start_session       :61   | Session started at: 2025-09-21 15:34:20.965620
2025-09-21 15:34:20 | INFO     | main                 | main                :74   | === PORTFOLIO ANALYSIS TOOL STARTING ===
2025-09-21 15:34:20 | INFO     | main                 | main                :75   | Session ID: 2025-09-21-15-34-20
2025-09-21 15:34:20 | INFO     | main                 | main                :79   | Setting up dependency injection
2025-09-21 15:34:20 | INFO     | presentation         | __init__            :30   | PortfolioController initialized
2025-09-21 15:34:20 | INFO     | main                 | main                :83   | Application initialization completed successfully
2025-09-21 15:34:20 | INFO     | main                 | main                :87   | Starting user interaction loop
2025-09-21 15:34:22 | INFO     | user                 | wrapper             :169  | User action: load_portfolio
2025-09-21 15:34:22 | INFO     | user                 | log_user_action     :163  | USER | load_portfolio | args: (<src.presentation.controllers.portfolio_controller.PortfolioController object at 0x113e5fe50>,) | kwargs: {}
2025-09-21 15:34:22 | INFO     | presentation         | load_portfolio      :35   | User initiated portfolio load
2025-09-21 15:34:25 | INFO     | presentation         | load_portfolio      :43   | User selected file path: input/full.csv
2025-09-21 15:34:25 | INFO     | user                 | log_user_action     :163  | USER | load_portfolio | file_path: input/full.csv
2025-09-21 15:34:25 | DEBUG    | business             | wrapper             :32   | Starting load_portfolio
2025-09-21 15:34:25 | INFO     | application          | execute             :26   | Starting portfolio load from: input/full.csv
2025-09-21 15:34:25 | INFO     | file                 | log_file_operation  :189  | FILE | load | input/full.csv | SUCCESS | operation: portfolio_load
2025-09-21 15:34:25 | DEBUG    | file                 | wrapper             :125  | File operation started: load_csv - <src.infrastructure.repositories.csv_portfolio_repository.CsvPortfolioRepository object at 0x113e5f5b0>
2025-09-21 15:34:25 | INFO     | infrastructure       | load                :19   | Loading portfolio from CSV: input/full.csv
2025-09-21 15:34:25 | DEBUG    | infrastructure       | load                :26   | Reading CSV file with pandas
2025-09-21 15:34:25 | DEBUG    | infrastructure       | load                :28   | CSV file loaded: 115 rows, 2 columns
2025-09-21 15:34:25 | DEBUG    | infrastructure       | _validate_csv_format:57   | Validating CSV format
2025-09-21 15:34:25 | DEBUG    | infrastructure       | _validate_csv_format:70   | CSV validation: 115 rows to validate
2025-09-21 15:34:25 | DEBUG    | infrastructure       | _validate_csv_format:87   | CSV validation successful
2025-09-21 15:34:25 | DEBUG    | validation           | _validate           :25   | Ticker validation successful: DUOL
2025-09-21 15:34:25 | DEBUG    | domain               | __init__            :12   | Ticker created: DUOL
2025-09-21 15:34:25 | DEBUG    | validation           | _validate           :26   | Position validation successful: DUOL x 0.5
2025-09-21 15:34:25 | DEBUG    | domain               | __init__            :16   | Position created: DUOL x 0.5
2025-09-21 15:34:25 | DEBUG    | infrastructure       | load                :39   | Created position 1: DUOL x 0.5
2025-09-21 15:34:25 | DEBUG    | validation           | _validate           :25   | Ticker validation successful: TUYA
2025-09-21 15:34:25 | DEBUG    | domain               | __init__            :12   | Ticker created: TUYA
2025-09-21 15:34:25 | DEBUG    | validation           | _validate           :26   | Position validation successful: TUYA x 25.0
2025-09-21 15:34:25 | DEBUG    | domain               | __init__            :16   | Position created: TUYA x 25.0
2025-09-21 15:34:25 | DEBUG    | infrastructure       | load                :39   | Created position 2: TUYA x 25.0
2025-09-21 15:34:25 | DEBUG    | validation           | _validate           :25   | Ticker validation successful: BRK-B
2025-09-21 15:34:25 | DEBUG    | domain               | __init__            :12   | Ticker created: BRK-B
2025-09-21 15:34:25 | DEBUG    | validation           | _validate           :26   | Position validation successful: BRK-B x 0.6
2025-09-21 15:34:25 | DEBUG    | domain               | __init__            :16   | Position created: BRK-B x 0.6
